Что такое уравнение состояния тела?|Соотношение f (P, V, T) = 0
Какие условия накладываются на термоскоп?|Он должен быть достаточно малых размеров.
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|Сосуществуют при нормальном атмосферном давлении.
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|Макроскопические термодинамические параметры имеют смысл средних значений (за большой промежуток времени) функций, характеризующих динамическое состояние системы.
В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|Термодинамика заимствует уравнения состояния либо из опыта, либо из статистической физики.
Почему абсолютная термодинамическая шкала температур называется абсолютной?|Мера основного состояния нижнего предела температуры - абсолютный нуль.
Как связаны термоскоп и термометр?|Термометр - это проградуированный по определённому правилу термоскоп.
Что является термометрической величиной в идеально-газовой шкале температур?|Произведение объема данной массы газа на его давление
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|Давление не обязательно должно быть именно атмосферным. Для каждого вещества нужна определённая температура.
Когда мы говорим, что два тела имеют одинаковые температуры?|Когда они находятся в термодинамическом равновесии друг с другом
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|Прекращаются только макроскопические процессы
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|Тело B передаёт тепло телу А
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|Второй закон термодинамики
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|Содержащая столько же структурных элементов (необязательно только молекул)
В физике Ньютона по каким траекториям движутся планеты?|по эллипсам
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |4
Чем силы инерции отличаются от обычных сил классической механики?|При переходе к другой ускоренно движущейся системе отсчета меняются и силы инерции. Силы инерции не подчиняются закону действия и противодействия (третьему закону Ньютона).
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|Увеличилась в 4 раза
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|Моменту инерции тела
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|Движущееся начало совпадает с центром масс системы
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|Изменилась отчисленно
Чем силы инерции отличаются от обычных сил классической механики?|При переходе к другой ускоренной системе отсчёта меняются и силы инерции.Силы инерции не подчиняются закону равенства действия и противодействия.
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Явления будут протекать одинаково в плане течения времени. Одинаковое время не сделает 2 явления абсолютно одинаковыми, лишь отсчет времени действия этих явлений будет одинаковый.
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|удвоенному моменту инерции того же тела относительно этой точки
Что может являться причиной нерегулярных колебаний продолжительности суток?|Из-за эллиптичности земной орбиты линейная скорость движения и угловая скорость вращения Земли вокруг Солнца изменяется в течение года. Медленнее всего Земля движется по орбите, находясь в афелии — самой удалённой от Солнца точке орбиты, быстрее всего — находясь в перигелии. Это является существенной причиной изменения длительности солнечных суток в течение года. А наклон приводит к движению Солнца по небесной сфере вверх и вниз от экватора в течение года.
Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|1 : 1.1
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|Необходимо дополнить данное утверждение: При этом предполагается, что тело, подставка и подвес покоятся в той системе отсчёта, в которой производиться взвешивание. Когда говорят о весе тела, обычно предполагают, что тело, подставка и подвес покоятся относительно Земли.
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Силы зависят не от величины гравитационного поля, а от степени его неоднородности. При увеличении расстояния от источника поля неоднородность уменьшается быстрее, чем величина самого поля. Поскольку Солнце почти в 400 раз дальше от Земли, чем Луна, то силы, вызываемые солнечным притяжением, оказываются слабее
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Сидя сложно упасть
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |Твердое тело, имеющее одну неподвижную точку, из одного положения в любое другое можно перевести одним поворотом вокруг некоторой оси, проходящей через неподвижную точку (теорема Эйлера-Даламбера). Эту ось называют осью конечного вращения. Ось, вокруг которой следует вращать тело, имеющее одну неподвижную точку, для перевода его из одного положения в другое, бесконечно близкое первому, называют мгновенной осью вращения (или мгновенной осью) для данного момента времени.
Что общего между сальто прыгуна и пируэтом балерины?|Они оба совершают вращательное движение
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|Они обладают разной массой
В физике Ньютона по каким траекториям движутся планеты?|По эллиптическим
Почему величина третьей космической скорости не определена однозначно?|3-ю космическую скорость обычно определяют как параболическую при M = M (масса Солнца) и R = 1 а.е. (радиус орбиты Земли), получая значение V3 = 42 км/с. Но при старте с поверхности Земли или с околоземной орбиты необходимо преодолеть еще притяжение планеты. Выйдя из сферы притяжения Земли (практически, удалившись от нее на несколько диаметров планеты), аппарат сохраняет орбитальную скорость Земли (29.8 км/с), поэтому необходимое приращение скорости до 42 км/с зависит от того, в каком направлении аппарат должен покинуть Солнечную систему. Взлетая с поверхности Земли и наилучшим образом используя орбитальное движение планеты, аппарат может при старте иметь 3-ю космическую скорость всего 16.6 км/с, а для полета в неблагоприятном направлении его необходимо разогнать до 72.8 км/с! Если к тому же учесть притяжение других планет, которое может как ускорить, так и притормозить аппарат, то диапазон возможных значений 3-й космической скорости станет еще больше.
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|при помощи третьего «контрольного» тела С. Тело С является термоскопом. Сначала привести в контакт тела А и С, затем В и С и сравнить результаты изменения тела С.
Какие условия накладываются на термоскоп?|изменение его температуры про контакте с измеряемым телом должно быть намного выше, чем изменение температуры измеряемого тела. В противном случае будет сильное искажение температуры испытываемого тела. Это достигается путем уменьшения размеров.
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|в состоянии термодинамического равновесия остаются неизменными лишь макроскопические величины системы(температура, давление, объём, энтропия), а все микроскопические процессы продолжаются.
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|Полное описание макроскопического поведения системы большого числа частиц может быть получено с помощью небольшого числа макроскопических параметров — давления Р, температуры Т, объема V и, быть может, еще нескольких других существенных характеристик, которые помогают описать и динамическую систему.
Сколько параметров требуется для описания неквазистатического процесса в общем случае?|Для описания неквазистатического процесса в общем случае необходимо 2 параметра , но в сложных случаях может быть и бесконечно много
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|:при нормальном атмосферном давлении
Как связаны термоскоп и термометр?|термометр, это проградуированный по определенному правилу термоскоп.
Что такое уравнение состояния тела?|Это уравнение соотношения трёх макроскопиеских параметров системы : давления, объёма и температуры.
Почему абсолютная термодинамическая шкала температур называется абсолютной?|Абсолютная термодинамическая температура не может принимать отрицательных значений
В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|Термодинамические процессы необратимы, а в статистической физике энтропия замкнутой системы может убывать
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|не при нормальном атмосферном давлении, а при определенном давлении
Что является термометрической величиной в идеально-газовой шкале температур?|произведение объема данной массы газа на его давление
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|содержащей столько же структурных элементов, а не молекул
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|Теорема Карно
Когда мы говорим, что два тела имеют одинаковые температуры?|Когда два тела, имеющие разные температуры, приводятся в контакт, теплота переходит от более теплого к более холодному те. Поток тепла направлен таким образом, чтобы температуры тел стали одинаковыми.
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |Твёрдое тело, имеющее одну неподвижную точку, может быть переведено из начального положение в произвольное путём поворота вокруг оси, проведённой через эту точку
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|При этом предполагается, что тело, подставка и подвес покоятся в той системе отсчета, в которой производится взвешивание.
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|Уравнение моментов относительно движущегося центра масс имеет такой же вид, что и относительно неподвижной точки.
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Они не оказывают влияния на получаемую величину
Почему величина третьей космической скорости не определена однозначно?|Взлетая с поверхности Земли и наилучшим образом используя её орбитальное движение, аппарат может при старте иметь 3-ю космическую скорость всего 16.67 км/сек, а для полета в неблагоприятном направлении может понадобиться его разогнать до 72.8 км/сек!
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|сумма моментов инерции твердого тела относительно трех взаимно перпендикулярных осей пересекающихся в одной точке не зависит от направления этих осей по отношению к выбранному телу, а зависит только от расположения их точки пересечения
В физике Ньютона по каким траекториям движутся планеты?|тела будут двигаться по коническим сечениям, в зависимости от начальных условий — по эллипсам, параболам или гиперболам
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Однородность времени означает, что если в два любые момента времени все тела замкнутой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково
Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|1,23
Что общего между сальто прыгуна и пируэтом балерины?|сальто с поворотами — пируэты
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Когда пассажир стоит в движущемся автобусе, то на поворотах он испытывает действие так называемой центробежной силы инерции. Если во время поворота пассажир будет перемещаться в автобусе, то на него начнет действовать еще сила Кориолиса, которая всегда перпендикулярна относительной скорости.
Чем силы инерции отличаются от обычных сил классической механики?|Все остальные механические силы возникают в результате воздействия одного тела на другое. Тогда как силы инерции обусловлены свойствами механического движения тела.
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|При одинаковых массах моменты инерции полых тел больше, чем сплошных. Поэтому на долю вращательного движения у полых тел приходится относительно большая кинетическая энергия, чем у сплошных.
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|При этом угловая скорость вращательного движения не зависит от выбора полюса.
Что может являться причиной нерегулярных колебаний продолжительности суток?|неравномерность вращения Земли вокруг своей оси
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|Температура, при которой твердая и жидкая фазы одного и того же вещества сосуществуют в фазовом равновесии при нормальном атмосферном давлении, называется нормальной точкой плавления рассматриваемого вещества
Какие условия накладываются на термоскоп?|Термоскоп должен быть отрегулирован таким образом, чтобы жидкость в трубке стояла приблизительно на 12 - 15 см выше пробки
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|А нагревается при соприкосновении, а В охлаждается
Почему абсолютная термодинамическая шкала температур называется абсолютной?|Абсолютная шкала температуры называется так, потому что мера основного состояния нижнего предела температуры — абсолютный ноль, то есть наиболее низкая возможная температура, при которой в принципе невозможно извлечь из вещества тепловую энергию.
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|Закон Шарля
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|Моль — количество вещества системы, содержащей столько же структурных элементов, сколько содержится атомов в углероде-12 массой 0,012 кг
Когда мы говорим, что два тела имеют одинаковые температуры?|между ними не происходит передачи кинетической энергии частиц
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|Термодинамика рассматривает эти величины как некоторые макроскопические величины (макроскопические параметры), присущие системе или процессу в системе,
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|Термодинамическое равновесие — состояние системы, при котором остаются неизменными во времени макроскопические величины этой системы (температура, давление, объём, энтропия) в условиях изолированности от окружающей среды
