Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |форма изображения не изменится. Яркость изображения уменьшится в 2 раза
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|разрешающая способность
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
Чем фундаментально интерференция отличается отдифракции?|интерференция-наложение 2х  или более волн, дифракция-огибание волной препятствий
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|останется неизменной
Для света какого цвета показатель преломленияводы является наибольшим?|для фиолетового
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |свет станет неполяризованным
Какие оптические явления лежат в основеголографии |устойчивость во времени интерференционной картины
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|кольца ньютона
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|взаимно перпендикулярны
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|отражательная способность тела
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|при четном числе зон Френеля
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синий
Какое явление показывает поперечность световыхволн? |поляризация, интерференция
В какой волне не может возникнуть поляризация? |в продольной
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |не изменится
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |Не изменится, Луна останется полным кругом
Что представляет из себя излучение отдельногоатома? |линейчатый спектр
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|Взаимно перпендикулярны
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|коэффициент поглощения
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |Электромагнитное излучение взаимодействует с частицами, размер которых меньше длины волны падающего света
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |удвоеной сумме энергий составляющих колебаний
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|не изменится
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему
В какой волне не может возникнуть поляризация? |в поперечной
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |происходит деполяризация
Дисперсия называется аномальной, если (написать через длину волны)|с ростом длины волны показатель преломления уменьшается
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетового
Какое явление показывает поперечность световыхволн? |поляризация света и интерференция
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |кинетическая энергия увеличивается, потенциальная уменьшается
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |принцип Ферма
Чем фундаментально интерференция отличается отдифракции?|Дифракция - это явление отклонения света от прямолинейного направления распространения при прохождении вблизи препятствий, а интерференция - явление наложения когерентных волн
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|Да, можем, если отверстие открывает четное количество зон Френеля
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|уменьшится в 2,25 раза
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |длина волны увеличится в 2 раза
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное количество зон Френеля
Что представляет из себя излучение отдельногоатома? |атом излучает энергию отдельными порциями(квантами)
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
Какие оптические явления лежат в основеголографии |интерференция и дифракция
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|скорость фронта равна групповой скорости волны
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|период решетки
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|светлое пятно
Как называют среды с постоянным коэффициентомпреломления?|однородными
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |Уменьшится в два раза
Как называют среды с постоянным коэффициентомпреломления?|Однослойная
В какой волне не может возникнуть поляризация? |Поперечной
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|Можно, при открытии четных зон френеля
Какое явление показывает поперечность световыхволн? |Поляризация
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|c
Какие оптические явления лежат в основеголографии |Дифракция и интереференция
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|Поглощающая способность
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |Синий цвет
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|Не изменится
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |Не изменится
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |Неоднородность среды
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|Темный круг
Для света какого цвета показатель преломленияводы является наибольшим?|Фиолетового
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |кинетическая увеличится, а потенциальная уменьшится
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |Принцип Ферма
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|разрешающая способность
Отношение энергии отраженной волны к энергиипадающей называется|Коэффициент отражения
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |в четыре раза больше
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|плоскополяризован и частично поляризован
Что представляет из себя излучение отдельногоатома? |электромагнитная волна
Дисперсия называется аномальной, если (написать через длину волны)|с ростом длины волны показатель преломления увеличивается
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|первую зону френеля
Чем фундаментально интерференция отличается отдифракции?|При интереференции мы рассматриваем суперпозицию волн, выходящих из ряда точечных источников, а при дифракции- волны, выходящие из источников области
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|интенсивность не изменится
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он разложится в спектр
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему
Для света какого цвета показатель преломленияводы является наибольшим?|для синего
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |принцип Ферма
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |без изменения длины волны, когда частота выше собственной
Дисперсия называется аномальной, если (написать через длину волны)|с уменьшением длины волны показатель преломления уменьшается
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|изначальной
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
В какой волне не может возникнуть поляризация? |в продольной
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|период
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|если открывается четное число зон Френеля
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он деполяризуется
Какие оптические явления лежат в основеголографии |электрооптический эффект
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |форма не изменится, яркость уменьшится
Как называют среды с постоянным коэффициентомпреломления?|однородные
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|интерференционные максимумы и минимумы
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|поглощательная способность тела
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|никак
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|v
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |уменьшится в два раза
Какое явление показывает поперечность световыхволн? |поляризация и интерференция
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|максимальна
Чем фундаментально интерференция отличается отдифракции?|дифракция - это интерференция вторичных волн
Что представляет из себя излучение отдельногоатома? |набор сравнительно узких линий
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он станет естественным, т.е. неполяризованным
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|если отверстие оставляет открытым четное число зон Френеля
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|Разрешающая способность
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему цвету
В какой волне не может возникнуть поляризация? |в продольной волне поляризация возникнуть не может, тк направление колебаний в волнах этого типа всегда совпадает с направлением распространения
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|0
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент прохождения
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон Френеля
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|не изменится
Чем фундаментально интерференция отличается отдифракции?|дифракция-разложения света в спектр, а интерференция-наложение одной волны на другую
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|отражательная способность тела
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|лучи будут перпендикулярны
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|c/n
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |изображение не изменится
Какие оптические явления лежат в основеголографии |дифракция света
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |наибольшему значению
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |не изменится
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |принцип Ферма
Дисперсия называется аномальной, если (написать через длину волны)|dn/dlyambda>0
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетовый цвет
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |размеры объекта должны быть меньше длины волны
Какое явление показывает поперечность световыхволн? |поляризация света
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |она увеличится в 2 раза
Чем фундаментально интерференция отличается отдифракции?|дифракция - это явление отклонения, а интерференция - явления наложения
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |никак
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|групповой скорости
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|можно наблюдать при открытии четного количества зон френеля
Для света какого цвета показатель преломленияводы является наибольшим?|для света фиолетового цвета
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|уменьшится в 2.25
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |Ферма
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|период дифракционной решетки
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|перпендикулярны
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |если электромагнитное излучение взаимодействует с частицами, размер которых очень мал
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |первая увеличится, вторая уменьшится
Дисперсия называется аномальной, если (написать через длину волны)|если показатель преломления уменьшается с ростом длины волны, дисперсия называется аномальной
Какие оптические явления лежат в основеголографии |дифракция и интерференция лежат в основе голографии
Что представляет из себя излучение отдельногоатома? |атом излучает кванты
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |свет деполяризируется
Как называют среды с постоянным коэффициентомпреломления?|среды с постояннымм коэффициентом преломления называются однородными
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон френеля
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|коэффициент поглощения - величина, показывающая, какая доля энергии падающего излучения с частотами поглощася поверхностью тела
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|вокруг точки касания появится светлое пятно
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |наиболее интенсивно рассеиваются световые волны, соответствующие в области видимого спектра синему цвету
Какое явление показывает поперечность световыхволн? |поляризация и интерференция света показывает поперечность световых волн
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |сумме энергий составляющих колебания
